"id","userid","tweettext","haslinks","hastags","is_retweet","totalretweets","tweeton","creationdate","class","jobid","coordinate"
"1487752577546551301","2917713430","RT @Zeynab46: 8 prinsip Ibu Kota Negara (IKN) | #DukungIbuKotaNusantara | Nusantara
--------
Viral Vidio Gundam Zombie Menteri Faisal Page…","","DukungIbuKotaNusantara","false","11","2022-01-30 11:40:30","2022-01-31","negatif","3",""
"1487751709115891713","150573137","RT @Dialoka20: Alasan terpilihnya nama Nusantara sebagai ibu kota negara (IKN). Dipilihnya nama Nusantara karena menggambarkan Republik Ind…","","","false","5","2022-01-30 11:37:03","2022-01-31","negatif","3",""
"1487750736398077952","1039333988966391808","RT @Muh_Zain_Abid: Ketua Umum PBNU KH Yahya Cholil Staquf resmi mencanangkan pembangunan kantor baru PBNU di Ibu Kota Negara (IKN) di Kecam…","","","false","3","2022-01-30 11:33:11","2022-01-31","tdk-relevan","3",""
"1487750312668856321","2902360352","@NogoSosroAsli @Uplu7 @AKamas0911 @ahista_perdana @Iyoet___Asriie @Dargomb33306384 @AntonKu62463911 @NKRIHAR82459132 @Frans_Priyo @BinsarNixon____ @Ghurem2 @Thalomoan1 @shield17845 @ImamMursyalin @A123456789ZQ Pemindahan Ibu Kota Negara/IKN Sudah Di Rencanakan Oleh Pemerintahan SBY .Tapi Sebatas Wacana Dan Rencana Tidak Berani Eksekusi. Undang-Undang IKN Nusantara Sudah Disahkan Artinya Artinya Undang-Undang Perintahkan Pembangunan IKN Harus Dilaksanakan","","","false","0","2022-01-30 11:31:30","2022-01-31","negatif","3",""
"1487748219299721216","322559270","RT @Penyair_Berdiri: Nusantara adalah nama Ibu Kota Negara baru Indonesia. Pembangunan untuk mewujudkannya sudah digiatkan &amp; sah sesuai UU…","","","false","19","2022-01-30 11:23:11","2022-01-31","negatif","3",""
"1487746623270649857","1341385911632838656","RT @Zeynab46: 8 prinsip Ibu Kota Negara (IKN) | #DukungIbuKotaNusantara | Nusantara
--------
Viral Vidio Gundam Zombie Menteri Faisal Page…","","DukungIbuKotaNusantara","false","11","2022-01-30 11:16:50","2022-01-31","negatif","3",""
"1487743722653884416","1332282571133214721","RT @ayrafatiha1: Pemindahan ibu kota negara (IKN) Indonesia sudah dipastikan bakal terwujud, setelah ibu kota baru itu diberi nama Nusantar…","","","false","1","2022-01-30 11:05:19","2022-01-31","tdk-relevan","3",""
"1487742238029500417","1304747239814823937","RT @kimikimberl18: Dewan Perwakilan Rakyat (DPR) yang telah menyetujui Rancangan Undang-Undang tentang Ibu Kota Negara (RUU IKN) menjadi Un…","","","false","7","2022-01-30 10:59:25","2022-01-31","negatif","3",""
"1487741219862360064","1442722911475814408","Keren, Gus Yahya Sudah Rencanakan akan Bangun Kantor Baru PBNU di Ibu Kota Negara (IKN) Nusantara #alonesia https://t.co/O7ly14ue76","alonesia.com/nasional/pr-19…","alonesia","false","0","2022-01-30 10:55:22","2022-01-31","tdk-relevan","3",""
"1487738994423377925","461116306","RT @Muh_Zain_Abid: Ketua Umum PBNU KH Yahya Cholil Staquf resmi mencanangkan pembangunan kantor baru PBNU di Ibu Kota Negara (IKN) di Kecam…","","","false","3","2022-01-30 10:46:31","2022-01-31","tdk-relevan","3",""
"1487738243525353473","1170260994536497154","RT @Dialoka20: Alasan terpilihnya nama Nusantara sebagai ibu kota negara (IKN). Dipilihnya nama Nusantara karena menggambarkan Republik Ind…","","","false","5","2022-01-30 10:43:32","2022-01-31","negatif","3",""
"1487738033768378372","1214712160523173889","Gus Yahya: PBNU Mohon Izin Ikut Nempatin Ibu Kota Negara

#gusyahya #PBNU #Nusantara #IKN #IbuKotaNegara #IbukotaBaru #IbuKotaNegaraBaru #RakyatMerdeka #RMid
 https://t.co/YJVQ6AVjVe","rm.id/baca-berita/na…","gusyahya PBNU Nusantara IKN IbuKotaNegara IbukotaBaru IbuKotaNegaraBaru RakyatMerdeka RMid","false","3","2022-01-30 10:42:42","2022-01-31","negatif","3",""
"1487736774512152582","181495879","RT @Penyair_Berdiri: Nusantara adalah nama Ibu Kota Negara baru Indonesia. Pembangunan untuk mewujudkannya sudah digiatkan &amp; sah sesuai UU…","","","false","19","2022-01-30 10:37:42","2022-01-31","negatif","3",""
"1487736366956150785","1397625298917765120","RT @Zeynab46: 8 prinsip Ibu Kota Negara (IKN) | #DukungIbuKotaNusantara | Nusantara
--------
Viral Vidio Gundam Zombie Menteri Faisal Page…","","DukungIbuKotaNusantara","false","11","2022-01-30 10:36:05","2022-01-31","negatif","3",""
"1487736200353878017","2917713430","RT @Dialoka20: Alasan terpilihnya nama Nusantara sebagai ibu kota negara (IKN). Dipilihnya nama Nusantara karena menggambarkan Republik Ind…","","","false","5","2022-01-30 10:35:25","2022-01-31","negatif","3",""
"1487736026802053120","1475306621282574338","RT @Dialoka20: Alasan terpilihnya nama Nusantara sebagai ibu kota negara (IKN). Dipilihnya nama Nusantara karena menggambarkan Republik Ind…","","","false","5","2022-01-30 10:34:44","2022-01-31","negatif","3",""
"1487735954593181698","1372465045192384516","RT @Penyair_Berdiri: Nusantara adalah nama Ibu Kota Negara baru Indonesia. Pembangunan untuk mewujudkannya sudah digiatkan &amp; sah sesuai UU…","","","false","19","2022-01-30 10:34:27","2022-01-31","negatif","3",""
"1487735874049634304","1341385911632838656","Alasan terpilihnya nama Nusantara sebagai ibu kota negara (IKN). Dipilihnya nama Nusantara karena menggambarkan Republik Indonesia.
 #DukungIbuKotaNusantara","","DukungIbuKotaNusantara","false","5","2022-01-30 10:34:07","2022-01-31","negatif","3",""
"1487735254979067905","1397625298917765120","RT @kimikimberl18: Dewan Perwakilan Rakyat (DPR) yang telah menyetujui Rancangan Undang-Undang tentang Ibu Kota Negara (RUU IKN) menjadi Un…","","","false","7","2022-01-30 10:31:40","2022-01-31","negatif","3",""
